Rank,Name,Symbol,Price,1h %,24h %,7d %,Market Cap,Volume(24h)
,CoinMarketCap 20 Index DTF,CMC20,$151.82,0.23%,0.46%,3.03%,"$15.96M$15,958,365","$2,122,44313.97K"
1,Bitcoin,BTC,"$74,392.78",0.07%,0.54%,2.78%,"$1.49T$1,488,114,795,756","$41,689,822,230560.77K"
2,Ethereum,ETH,"$2,327.04",0.17%,0.71%,4.75%,"$280.84B$280,839,444,430","$20,147,320,0638.65M"
3,Tether,USDT,$1.00,0.01%,0.01%,0.00%,"$185.75B$185,750,525,196","$129,842,831,322129.83B"
4,XRP,XRP,$1.42,0.09%,3.52%,4.89%,"$87.78B$87,783,822,423","$3,964,236,4412.78B"
5,BNB,BNB,$627.08,0.16%,1.07%,3.10%,"$84.52B$84,522,380,346","$1,721,080,2992.74M"
6,USDC,USDC,$0.9997,0.01%,0.01%,0.02%,"$78.67B$78,665,242,647","$51,310,164,94751.32B"
7,Solana,SOL,$86.36,0.03%,2.15%,2.31%,"$49.68B$49,684,417,234","$5,031,065,71858.25M"
8,TRON,TRX,$0.3267,0.05%,0.26%,2.38%,"$30.97B$30,970,183,446","$734,838,5342.24B"
9,Dogecoin,DOGE,$0.09766,0.52%,3.08%,4.58%,"$15.03B$15,027,070,406","$2,512,413,76625.72B"
10,Hyperliquid,HYPE,$43.80,0.87%,1.03%,9.82%,"$11.2B$11,196,880,931","$347,961,7817.94M"
11,UNUS SED LEO,LEO,$10.14,0.03%,0.03%,0.43%,"$9.34B$9,339,926,638","$491,82148.48K"
12,Cardano,ADA,$0.2530,0.23%,3.31%,1.35%,"$9.15B$9,152,122,499","$659,252,6202.60B"
13,Bitcoin Cash,BCH,$440.00,0.08%,0.81%,0.98%,"$8.81B$8,809,729,816","$261,927,855595.28K"
14,Chainlink,LINK,$9.41,0.44%,2.09%,4.44%,"$6.84B$6,842,024,286","$683,553,59272.64M"
15,Monero,XMR,$343.91,0.40%,1.29%,0.30%,"$6.34B$6,344,082,854","$100,463,763292.11K"
16,Ethena USDe,USDe,$0.9997,0.00%,0.01%,0.01%,"$5.83B$5,829,039,593","$59,944,88759.95M"
17,Canton,CC,$0.1473,0.45%,3.26%,0.17%,"$5.65B$5,648,361,894","$23,975,156162.65M"
